spawningyear,commonpopname,subpop,tsaej
1977,Kalama (winter),Kalama_above_KFH,946
1978,Kalama (winter),Kalama_above_KFH,1615
1979,Kalama (winter),Kalama_above_KFH,521
1980,Kalama (winter),Kalama_above_KFH,1347
1981,Kalama (winter),Kalama_above_KFH,2770
1982,Kalama (winter),Kalama_above_KFH,1108
1983,Kalama (winter),Kalama_above_KFH,874
1984,Kalama (winter),Kalama_above_KFH,2007
1985,Kalama (winter),Kalama_above_KFH,1067
1986,Kalama (winter),Kalama_above_KFH,2532
1987,Kalama (winter),Kalama_above_KFH,1794
1988,Kalama (winter),Kalama_above_KFH,2135
1989,Kalama (winter),Kalama_above_KFH,769
1990,Kalama (winter),Kalama_above_KFH,756
1991,Kalama (winter),Kalama_above_KFH,1288
1992,Kalama (winter),Kalama_above_KFH,2847
1993,Kalama (winter),Kalama_above_KFH,1155
1994,Kalama (winter),Kalama_above_KFH,916
1995,Kalama (winter),Kalama_above_KFH,1315
1996,Kalama (winter),Kalama_above_KFH,1606
1997,Kalama (winter),Kalama_above_KFH,505
1998,Kalama (winter),Kalama_above_KFH,425
1999,Kalama (winter),Kalama_above_KFH,490
2000,Kalama (winter),Kalama_above_KFH,829
2001,Kalama (winter),Kalama_above_KFH,938
2002,Kalama (winter),Kalama_above_KFH,1377
2003,Kalama (winter),Kalama_above_KFH,1719
2004,Kalama (winter),Kalama_above_KFH,2156
2005,Kalama (winter),Kalama_above_KFH,1784
2006,Kalama (winter),Kalama_above_KFH,1560
2007,Kalama (winter),Kalama_above_KFH,910
2008,Kalama (winter),Kalama_above_KFH,668
2009,Kalama (winter),Kalama_above_KFH,940
2010,Kalama (winter),Kalama_above_KFH,865
2011,Kalama (winter),Kalama_above_KFH,560
2012,Kalama (winter),Kalama_above_KFH,955
2013,Kalama (winter),Kalama_above_KFH,730
2014,Kalama (winter),Kalama_above_KFH,853
2015,Kalama (winter),Kalama_above_KFH,1085
2016,Kalama (winter),Kalama_above_KFH,1083
2017,Kalama (winter),Kalama_above_KFH,617
2018,Kalama (winter),Kalama_above_KFH,535
2019,Kalama (winter),Kalama_above_KFH,138
2020,Kalama (winter),Kalama_above_KFH,442
2021,Kalama (winter),Kalama_above_KFH,269
2022,Kalama (winter),Kalama_above_KFH,730
2023,Kalama (winter),Kalama_above_KFH,548
2024,Kalama (winter),Kalama_above_KFH,825
2025,Kalama (winter),Kalama_above_KFH,444
