spawningyear,commonpopname,subpop,tsaej,source
1977,Kalama (winter),Kalama_above_KFH,946,Historical
1978,Kalama (winter),Kalama_above_KFH,1615,Historical
1979,Kalama (winter),Kalama_above_KFH,521,Historical
1980,Kalama (winter),Kalama_above_KFH,1347,Historical
1981,Kalama (winter),Kalama_above_KFH,2770,Historical
1982,Kalama (winter),Kalama_above_KFH,1108,Historical
1983,Kalama (winter),Kalama_above_KFH,874,Historical
1984,Kalama (winter),Kalama_above_KFH,2007,Historical
1985,Kalama (winter),Kalama_above_KFH,1067,Historical
1986,Kalama (winter),Kalama_above_KFH,2532,Historical
1987,Kalama (winter),Kalama_above_KFH,1794,Historical
1988,Kalama (winter),Kalama_above_KFH,2135,Historical
1989,Kalama (winter),Kalama_above_KFH,769,Historical
1990,Kalama (winter),Kalama_above_KFH,756,Historical
1991,Kalama (winter),Kalama_above_KFH,1288,Historical
1992,Kalama (winter),Kalama_above_KFH,2847,Historical
1993,Kalama (winter),Kalama_above_KFH,1155,Historical
1994,Kalama (winter),Kalama_above_KFH,916,Historical
1995,Kalama (winter),Kalama_above_KFH,1315,Historical
1996,Kalama (winter),Kalama_above_KFH,1606,Historical
1997,Kalama (winter),Kalama_above_KFH,505,Historical
1998,Kalama (winter),Kalama_above_KFH,425,Historical
1999,Kalama (winter),Kalama_above_KFH,490,Historical
2000,Kalama (winter),Kalama_above_KFH,829,Historical
2001,Kalama (winter),Kalama_above_KFH,938,Historical
2002,Kalama (winter),Kalama_above_KFH,1377,Historical
2003,Kalama (winter),Kalama_above_KFH,1719,Historical
2004,Kalama (winter),Kalama_above_KFH,2156,Historical
2005,Kalama (winter),Kalama_above_KFH,1784,Historical
2006,Kalama (winter),Kalama_above_KFH,1560,Historical
2007,Kalama (winter),Kalama_above_KFH,910,Historical
2008,Kalama (winter),Kalama_above_KFH,668,Historical
2009,Kalama (winter),Kalama_above_KFH,940,Historical
2010,Kalama (winter),Kalama_above_KFH,865,Historical
2011,Kalama (winter),Kalama_above_KFH,560,Historical
2012,Kalama (winter),Kalama_above_KFH,955,Historical
2013,Kalama (winter),Kalama_above_KFH,730,Historical
2014,Kalama (winter),Kalama_above_KFH,853,Historical
2015,Kalama (winter),Kalama_above_KFH,1085,Historical
2016,Kalama (winter),Kalama_above_KFH,1083,Historical
2017,Kalama (winter),Kalama_above_KFH,617,Historical
2018,Kalama (winter),Kalama_above_KFH,523,Jetter
2019,Kalama (winter),Kalama_above_KFH,130,Jetter
2020,Kalama (winter),Kalama_above_KFH,505,Jetter
2021,Kalama (winter),Kalama_above_KFH,271,Jetter
2022,Kalama (winter),Kalama_above_KFH,730,Jetter
2023,Kalama (winter),Kalama_above_KFH,545,Jetter
